
0001,12,17,42,55,66,10,29,45,58,70,03,20,0,57,73,09,25,39,53,71,04,16,41,47,64
0002,02,27,35,55,69,13,23,42,48,67,12,24,0,60,65,11,30,43,56,63,03,20,37,52,62
0003,07,28,37,48,62,08,30,31,51,72,03,21,0,47,69,06,27,33,54,75,10,26,40,50,64
0004,04,30,34,51,69,01,21,44,59,74,15,20,0,60,67,14,23,41,53,61,05,22,36,46,71
0005,01,17,44,59,70,04,30,31,52,74,05,18,0,47,75,08,19,34,54,63,13,22,38,55,73
0006,14,17,38,59,70,09,20,41,60,68,10,16,0,49,62,05,25,35,53,72,12,27,32,50,74
0007,02,27,31,55,67,06,25,35,52,63,12,30,0,59,74,01,19,43,58,64,07,29,34,47,73
0008,10,25,44,46,66,11,17,37,59,74,04,24,0,56,61,14,29,36,55,62,09,18,32,49,68
0009,13,18,40,46,62,10,27,41,49,67,08,22,0,54,69,09,30,43,57,74,04,28,44,48,71
0010,11,26,40,58,70,06,25,42,48,67,03,28,0,46,62,01,17,38,59,74,15,20,45,60,72
0011,12,19,33,52,73,07,22,31,50,69,15,23,0,53,72,08,26,41,48,68,11,17,38,47,75
0012,05,21,41,57,65,09,19,39,51,61,03,28,0,54,72,07,16,45,50,67,08,27,44,48,68
0013,02,24,32,49,74,09,27,43,46,69,03,19,0,54,75,05,25,36,57,64,07,20,42,51,62
0014,15,27,38,56,73,08,18,41,52,61,13,19,0,48,74,01,22,40,51,68,02,30,32,46,66
0015,09,25,41,57,75,12,17,31,55,67,11,18,0,46,74,02,28,34,54,62,13,23,39,59,68
0016,15,16,44,51,64,12,28,37,59,63,07,24,0,57,70,09,29,31,60,65,03,26,41,49,74
0017,08,24,38,56,71,11,22,33,47,62,10,18,0,58,65,06,27,37,48,75,14,28,35,51,69
0018,04,19,45,50,72,05,23,43,48,63,03,24,0,53,64,01,16,36,47,61,08,21,32,56,75
0019,03,23,31,56,71,01,16,41,50,61,14,19,0,54,65,06,18,42,57,70,12,25,34,59,72
0020,06,26,39,56,66,11,28,44,50,63,15,24,0,51,73,07,23,33,57,64,05,16,32,60,61
0021,08,19,41,52,62,10,30,31,51,69,14,25,0,56,66,04,27,39,57,67,09,29,38,53,74
0022,13,27,40,50,70,03,21,41,49,66,05,22,0,53,63,04,25,43,47,69,09,23,45,57,65
0023,11,28,33,47,64,14,18,37,59,73,06,25,0,48,63,03,23,36,49,75,08,29,35,58,72
0024,09,20,36,54,69,08,16,37,46,67,11,28,0,55,70,02,26,35,58,68,12,17,40,50,66
0025,11,17,44,46,75,07,27,34,56,62,08,23,0,49,71,15,21,43,55,69,09,19,36,51,64
0026,02,21,38,53,63,12,23,36,54,72,08,26,0,57,67,06,20,31,46,68,07,30,37,50,64
0027,01,24,39,48,63,10,16,38,50,74,05,18,0,60,62,08,27,33,59,68,15,28,42,49,66
0028,04,30,31,58,67,12,19,40,55,62,03,22,0,46,66,08,27,32,48,75,01,28,39,52,61
0029,09,27,35,47,67,13,20,40,50,70,04,29,0,56,72,11,17,36,55,63,14,25,45,48,71
0030,14,28,43,55,71,03,22,41,56,63,08,26,0,59,65,12,25,37,52,70,11,24,44,60,73
0031,14,27,37,53,66,01,19,42,52,70,10,30,0,49,62,11,24,34,58,75,05,16,35,46,68
0032,08,16,38,57,67,03,22,40,56,63,06,20,0,53,72,10,28,41,51,61,14,27,45,55,69
0033,03,17,31,55,62,13,30,44,57,74,07,23,0,46,75,15,21,43,52,67,09,29,36,47,71
0034,12,22,44,48,67,11,24,33,51,71,13,16,0,52,65,02,29,32,50,68,06,26,35,55,73
0035,11,29,39,55,68,06,21,34,53,69,13,18,0,58,70,08,25,45,60,63,05,20,35,59,65
0036,13,21,39,60,64,14,25,34,46,65,04,23,0,53,67,05,27,44,54,68,02,24,36,59,69
0037,15,22,43,55,68,03,16,44,47,71,02,18,0,58,66,07,28,35,50,61,12,17,34,57,72
0038,08,27,41,51,64,10,29,31,54,75,07,20,0,58,73,11,25,42,56,62,09,30,35,50,74
0039,07,26,34,49,72,14,30,37,57,64,10,29,0,48,67,15,28,33,59,71,12,18,40,51,66
0040,12,19,38,52,72,01,17,44,47,65,03,21,0,56,68,11,20,35,60,64,14,23,32,51,74
0041,13,25,36,56,62,11,24,31,46,61,05,22,0,58,71,03,17,39,52,65,08,21,38,59,64
0042,07,26,42,53,63,04,16,40,60,65,06,21,0,51,69,02,25,34,59,70,14,19,45,50,64
0043,13,20,35,60,61,02,27,39,46,70,08,18,0,51,68,10,17,34,49,72,15,28,31,55,69
0044,04,16,36,57,71,01,29,31,51,62,12,30,0,58,69,05,27,38,52,70,07,24,33,53,66
0045,12,20,40,57,62,07,18,35,60,71,10,19,0,47,61,05,16,38,59,65,03,29,36,46,64
0046,06,17,32,46,73,11,25,34,50,75,14,23,0,51,67,03,21,37,59,62,15,27,38,52,66
0047,10,19,32,55,61,04,20,44,56,67,07,25,0,54,69,15,22,41,50,63,09,17,42,49,70
0048,15,19,42,57,67,01,23,45,59,71,10,22,0,48,61,11,16,43,54,68,13,26,32,60,74
0049,01,28,31,59,62,02,21,42,46,75,03,20,0,53,64,13,29,45,48,63,07,24,38,55,73
0050,14,29,33,54,65,11,19,32,58,62,09,21,0,56,70,12,22,41,49,71,03,27,37,50,61
0051,09,19,32,52,61,07,25,42,58,62,12,20,0,46,72,04,18,38,59,74,05,16,43,48,71
0052,06,17,37,49,73,14,23,39,53,69,08,30,0,59,72,04,16,35,58,66,10,27,38,55,67
0053,10,26,33,51,65,05,20,43,59,72,01,28,0,60,73,12,19,32,55,61,03,29,44,47,69
0054,08,25,36,53,68,15,23,33,46,73,14,20,0,57,65,05,19,34,59,69,04,26,40,50,74
0055,01,20,34,60,63,10,19,41,48,65,09,18,0,47,67,04,26,33,58,69,12,29,45,56,64
0056,12,25,31,57,72,01,24,38,58,64,06,16,0,48,66,15,26,39,54,61,08,22,42,51,68
0057,07,17,40,55,69,03,20,34,51,62,09,24,0,52,73,01,30,36,53,74,13,22,33,54,61
0058,15,21,43,56,63,02,30,35,48,70,09,23,0,58,71,13,24,37,59,74,08,28,39,47,67
0059,04,22,44,52,63,09,27,45,56,64,11,25,0,46,73,13,19,42,47,75,14,29,43,49,61
0060,12,20,43,52,64,01,18,36,46,75,03,16,0,55,74,05,27,33,57,63,06,19,32,50,68
0061,11,22,32,57,61,13,18,37,54,75,04,21,0,47,64,14,26,34,46,69,10,25,35,49,74
0062,09,22,31,58,69,01,28,40,53,67,05,19,0,51,70,13,25,44,48,73,12,23,39,56,66
0063,12,17,38,47,66,10,30,42,46,64,08,24,0,60,62,06,19,41,52,72,01,20,31,58,61
0064,12,29,34,57,62,15,24,36,49,75,05,17,0,58,73,07,18,41,53,67,10,16,38,60,68
0065,06,25,42,57,72,08,27,37,53,70,03,29,0,59,71,12,17,44,51,66,02,24,45,56,69
0066,14,27,33,58,71,06,26,34,56,63,09,23,0,55,64,10,16,43,59,65,03,25,45,50,62
0067,15,16,42,55,66,01,29,36,57,70,03,19,0,50,61,11,27,41,59,65,13,26,44,47,73
0068,15,28,42,52,65,02,29,37,60,66,04,30,0,53,71,14,27,43,48,72,09,16,36,54,67
0069,01,29,38,59,61,15,21,42,51,72,08,17,0,57,70,14,27,45,53,63,06,28,35,55,69
